username,senha,nome,sobrenome,email,numCRM,cidadeFederativa,situacao
med1,med1,joao,augusto,j@gmail.com,12548,BA,A
med2,med2,joao,pereira,j.p@gmail.com,11245,CE,E
med3,med3,junior,maldivas,j.v@gmail.com,13584,SP,A
med4,med4,andre,fonseca,a@gmail.com,12985,DF,A
med5,med5,anis,pereira,b@gmail.com,15485,GO,A
med6,med6,augusto,dias,c@gmail.com,12458,MG,E
med7,med7,antonio,matos,d@gmail.com,13658,BA,A
med8,med8,ana,cecilia,e@gmail.com,11458,SP,E
med9,med9,carol,reyes,c.r@gmail.com,11785,BA,A
med10,med10,richard,pereira,ri@gmail.com,11786,SP,A
med11,med11,gabriel,li,gab@gmail.com,12785,GO,A
med12,med12,ana,matos,a.matos@gmail.com,13485,BA,A
